INSTITUTIONS,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year ,,,
New York University,4.7,5,5,4.7,4.8,USA,1,1,2021,,,
"Rutgers University, New Brunswick",4.5,4.5,5,4.4,4.6,USA,2,3,2021,,,
Princeton University,4.4,4.5,5,4.3,4.5,USA,3,4,2021,,,
University of Pittsburgh,4.2,4,4,4,4.3,USA,4,5,2021,,,
"University of Michigan, Ann Arbor",4.1,4,4,4,4.3,USA,5,6,2021,,,
Yale University,4.1,4,4,4,4.2,USA,5,6,2021,,,
Harvard University,3.9,4,4,3.8,4,USA,7,9,2021,,,
Massachusetts Institute of Technology,3.9,4,4,3.8,4,USA,7,9,2021,,,
"University of California, Berkeley",3.9,4,4,3.8,4,USA,7,9,2021,,,
"University of California, Los Angeles",3.9,4,4,3.8,4,USA,7,9,2021,,,
University of Southern California,3.9,4,4,3.8,4,USA,7,9,2021,,,
City University of New York Graduate Center,3.8,4,4,3.7,3.9,USA,12,14,2021,,,
Columbia University,3.8,4,4,3.7,3.9,USA,12,14,2021,,,
Stanford University,3.8,4,3.5,3.7,3.9,USA,12,14,2021,,,
"University of North Carolina, Chapel Hill",3.8,4,4,3.7,3.9,USA,12,14,2021,,,
University of Notre Dame,3.8,4,4,3.7,3.9,USA,12,14,2021,,,
"University of Texas, Austin",3.7,4,4,3.6,3.8,USA,17,19,2021,,,
Brown University,3.6,3.5,4,3.5,3.7,USA,18,20,2021,,,
Cornell University,3.5,3.5,4,3.4,3.6,USA,19,22,2021,,,
"University of California, San Diego",3.5,3.5,4,3.4,3.6,USA,19,22,2021,,,
University of Chicago,3.5,3.5,4,3.3,3.6,USA,19,22,2021,,,
University of Arizona,3.4,3.5,3,3.3,3.5,USA,22,25,2021,,,
"University of Wisconsin, Madison",3.4,3.5,3,3.3,3.5,USA,22,25,2021,,,
"University of California, Irvine",3.3,3.5,3,3.2,3.4,USA,24,28,2021,,,
Ohio State University,3.1,3,3,3,3.2,USA,25,32,2021,,,
"Washington University, St. Louis",3.1,3,3,3,3.2,USA,25,32,2021,,,
"University of California, Riverside",3,3,3,2.9,3.1,USA,27,36,2021,,,
"University of Colorado, Boulder",3,3,3,2.9,3.1,USA,27,36,2021,,,
"University of Massachusetts, Amherst",3,3,3,2.9,3.1,USA,27,36,2021,,,
University of Pennsylvania,3,3,3,2.8,3.1,USA,27,36,2021,,,
Georgetown University,2.9,3,3,2.7,3,USA,31,41,2021,,,
