INSTITUTION,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year,,,,,,,,
New York University,4.9,5,,,,USA,1,1,2009,,,,,,,,
"Rutgers University, New Brunswick",4.6,5,,,,USA,2,3,2009,,,,,,,,
Princeton University,4.3,4.5,,,,USA,3,4,2009,,,,,,,,
University of Pittsburgh,4.2,4,,,,USA,4,5,2009,,,,,,,,
"University of Michigan, Ann Arbor",4.1,4,,,,USA,5,6,2009,,,,,,,,
Harvard University,4,4,,,,USA,6,7,2009,,,,,,,,
Massachusetts Institute of Technology,4,4,,,,USA,6,7,2009,,,,,,,,
Yale University,3.9,4,,,,USA,8,9,2009,,,,,,,,
Stanford University,3.8,4,,,,USA,9,10,2009,,,,,,,,
"University of California, Berkeley",3.8,3.5,,,,USA,9,10,2009,,,,,,,,
"University of California, Los Angeles",3.8,4,,,,USA,9,10,2009,,,,,,,,
"University of North Carolina, Chapel Hill",3.8,4,,,,USA,9,10,2009,,,,,,,,
Columbia University,3.7,4,,,,USA,13,14,2009,,,,,,,,
University of Arizona,3.7,3.5,,,,USA,13,14,2009,,,,,,,,
City University of New York Graduate Center,3.6,3.5,,,,USA,15,17,2009,,,,,,,,
University of Notre Dame,3.6,3.5,,,,USA,15,17,2009,,,,,,,,
Brown University,3.5,3.5,,,,USA,17,21,2009,,,,,,,,
Cornell University,3.5,3.5,,,,USA,17,21,2009,,,,,,,,
University of Southern California,3.5,3.5,,,,USA,17,21,2009,,,,,,,,
"University of Texas, Austin",3.4,3.5,,,,USA,20,24,2009,,,,,,,,
"University of California, San Diego",3.3,3.5,,,,USA,21,26,2009,,,,,,,,
University of Chicago,3.3,3.5,,,,USA,21,26,2009,,,,,,,,
"Indiana University, Bloomington",3.2,3,,,,USA,23,28,2009,,,,,,,,
"University of California, Irvine",3.2,3,,,,USA,23,28,2009,,,,,,,,
"University of Wisconsin, Madison",3.2,3,,,,USA,23,28,2009,,,,,,,,
Duke University,3,3,,,,USA,26,33,2009,,,,,,,,
Ohio State University,3,3,,,,USA,26,33,2009,,,,,,,,
"University of Colorado, Boulder",3,3,,,,USA,26,33,2009,,,,,,,,
"University of Massachusetts, Amherst",3,3,,,,USA,26,33,2009,,,,,,,,
"University of California, Riverside",2.9,3,,,,USA,30,39,2009,,,,,,,,
"University of Maryland, College Park",2.9,3,,,,USA,30,39,2009,,,,,,,,
University of Pennsylvania,2.9,3,,,,USA,30,39,2009,,,,,,,,
"Washington University, St. Louis",2.9,3,,,,USA,30,39,2009,,,,,,,,
Syracuse University,2.8,3,,,,USA,34,44,2009,,,,,,,,
University of Miami,2.8,3,,,,USA,34,44,2009,,,,,,,,
Carnegie Mellon University,2.6,2.5,,,,USA,36,,2009,,,,,,,,
Georgetown University,2.6,2.5,,,,USA,36,,2009,,,,,,,,
"University of California, Davis",2.6,2.5,,,,USA,36,,2009,,,,,,,,
"University of Illinois, Chicago",2.6,2.5,,,,USA,36,,2009,,,,,,,,
University of Virginia,2.6,2.5,,,,USA,36,,2009,,,,,,,,
Northwestern University,2.5,2.5,,,,USA,41,,2009,,,,,,,,
"University of California, Santa Barbara",2.5,2.5,,,,USA,41,,2009,,,,,,,,
Florida State University,2.4,2.5,,,,USA,43,,2009,,,,,,,,
Johns Hopkins University,2.4,2.5,,,,USA,43,,2009,,,,,,,,
"University of Connecticut, Storrs",2.4,2.5,,,,USA,43,,2009,,,,,,,,
"University of Washington, Seattle",2.4,2.5,,,,USA,43,,2009,,,,,,,,
"University of Minnesota, Minneapolis-St. Paul",2.3,2.5,,,,USA,47,,2009,,,,,,,,
Boston University,2.2,2,,,,USA,48,,2009,,,,,,,,
Rice University,2.2,2,,,,USA,48,,2009,,,,,,,,
"University of Illinois, Urbana-Champaign",2.2,2,,,,USA,48,,2009,,,,,,,,
"University of Missouri, Columbia",2.2,2,,,,USA,48,,2009,,,,,,,,
